step,t,x,y,z,vx,vy,vz,next_x,next_y,next_z,next_vx,next_vy,next_vz,nominal_vx,nominal_vy,nominal_vz,command_vx,command_vy,command_vz,accel_x,accel_y,accel_z,constraint_active,sector,azimuth_rad,depth_m,margin_m,a_x,a_y,a_z,b,current_slack_m,lookahead_violation_m,obstacle_clearance_m,obstacle_name,status,constraint_age_frames,gate_collision,admm_status,admm_iterations,admm_pri_res,admm_dua_res,admm_terminal_x,admm_terminal_y,admm_terminal_z
11,0.550000000,0.240277030,0.005350697,1.119321010,0.669139296,0.059971030,0.040642435,0.273089867,0.008165446,1.121241467,0.648051397,0.053264411,0.036634946,0.543250673,-0.004815627,-0.038642019,0.189470714,-0.225825572,0.029517941,-0.800000000,-0.800000000,-0.031784271,1,2,-0.174532925,1.159294286,0.922455893,0.991743843,0.115140264,0.056452370,0.538936062,0.236838393,0.000000000,1.016910133,center_box,active,0,False,-2,2,0.000000000,0.000000000,1.069422007,-0.164018482,1.141459465
12,0.600000000,0.273089867,0.008165446,1.121241467,0.648051397,0.053264411,0.036634946,0.304906600,0.010312652,1.123014920,0.622352831,0.028744715,0.033987198,0.529469120,-0.007348901,-0.042482933,0.179078950,-0.174752847,0.029958703,-0.800000000,-0.651477880,-0.019074978,1,2,-0.174532925,1.119243436,0.895394749,0.997915286,0.056246999,0.031644242,0.532309357,0.223848687,0.000000000,0.985093400,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.791487694,-0.122899190,1.143710494
13,0.650000000,0.304906600,0.010312652,1.123014920,0.622352831,0.028744715,0.033987198,0.334500001,0.010037767,1.124426740,0.561640063,-0.041229849,0.021862359,0.516584060,-0.009281387,-0.046029839,0.175196917,0.130297971,0.004634867,-0.800000000,0.290152160,-0.083863802,1,2,-0.174532925,1.094980729,0.875984583,0.990970317,0.083874873,0.104608011,0.639490865,0.218996146,0.000000000,0.955499999,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.877523601,0.108036131,1.126491070
14,0.700000000,0.334500001,0.010037767,1.124426740,0.561640063,-0.041229849,0.021862359,0.360713699,0.005426294,1.124890681,0.494564343,-0.136669237,-0.001369375,0.505699999,-0.009033991,-0.048853480,0.170719050,0.250000000,0.001142002,-0.800000000,0.800000000,-0.059201022,1,3,0.000000000,1.066994063,0.853595250,0.989227622,0.000754062,0.146383548,0.708900598,0.213398813,0.000000000,0.929286301,center_box,active,0,False,-2,2,0.000000000,0.000000000,1.221853971,0.728217959,1.125283241
15,0.750000000,0.360713699,0.005426294,1.124890681,0.494564343,-0.136669237,-0.001369375,0.384192519,-0.003873075,1.124516304,0.455336766,-0.223137267,-0.011321985,0.497857671,-0.004883665,-0.049781362,0.166508228,0.250000000,0.004492924,-0.800000000,0.800000000,0.016749426,1,3,0.000000000,1.040676425,0.832541140,0.989055077,0.075423255,0.126812412,0.707960369,0.208135285,0.000000000,0.905807481,center_box,active,0,False,-2,2,0.000000000,0.000000000,1.354022861,0.947601259,1.128260374
16,0.800000000,0.384192519,-0.003873075,1.124516304,0.455336766,-0.223137267,-0.011321985,0.407145744,-0.016419058,1.124560021,0.470334474,-0.264074936,0.011760106,0.492476733,0.003485767,-0.049032609,0.161392551,0.250000000,0.032248105,-0.800000000,0.800000000,0.124485971,1,3,0.000000000,1.008703444,0.806962755,0.997129025,0.073447780,0.018415507,0.605254269,0.201740689,0.000000000,0.882854256,center_box,active,0,False,-2,2,0.000000000,0.000000000,1.143109083,1.054952145,1.148702383
17,0.850000000,0.407145744,-0.016419058,1.124560021,0.470334474,-0.264074936,0.011760106,0.432004555,-0.028997950,1.125888438,0.523195679,-0.230616624,0.038113697,0.487568831,0.014777152,-0.049120043,0.159508513,0.250000000,0.046489208,-0.800000000,0.800000000,0.099226007,1,2,-0.174532925,0.996928204,0.797542563,0.985882687,0.142839553,-0.087362402,0.500194025,0.199385641,0.000000000,0.857995445,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.690094233,0.716327906,1.159426928
18,0.900000000,0.432004555,-0.028997950,1.125888438,0.523195679,-0.230616624,0.038113697,0.459663216,-0.038508276,1.128049851,0.575233646,-0.151894884,0.047253900,0.480945900,0.026098155,-0.051776876,0.050000000,0.250000000,0.047002354,-0.800000000,0.800000000,0.025396162,1,2,-0.174532925,0.966239902,0.772991922,0.991467484,0.037578566,-0.124820189,0.479943141,0.193247980,0.000000000,0.830336784,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.285369843,0.338178724,1.161140203
19,0.950000000,0.459663216,-0.038508276,1.128049851,0.575233646,-0.151894884,0.047253900,0.489009067,-0.043784050,1.130284780,0.591555741,-0.068311213,0.043082857,0.471803106,0.034657449,-0.056099703,0.050000000,-0.035028981,0.025549728,-0.800000000,0.333902582,-0.062011918,1,2,-0.174532925,0.933440222,0.746752178,0.996675269,0.037096319,-0.072541517,0.561564041,0.186688044,0.000000000,0.800998879,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.196026728,-0.064780012,1.147212148
20,1.000000000,0.489009067,-0.043784050,1.130284780,0.591555741,-0.068311213,0.043082857,0.518595451,-0.045557395,1.132090113,0.592575606,-0.011246865,0.030634640,0.461141839,0.039405645,-0.060569561,0.050000000,-0.250000000,0.014396675,-0.800000000,-0.519110821,-0.081960520,1,2,-0.174532925,0.908711991,0.726969593,0.991503294,0.128088896,-0.022681561,0.635351626,0.181742398,0.000000000,0.771422270,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.374810845,-0.243554652,1.141082287
