t,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,motor_0_thrust_n,motor_1_thrust_n,motor_2_thrust_n,motor_3_thrust_n
0.000000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9999995681670141,-0.0,-0.0009293362068494808,0.0,0.0,0.2847680543438045,0.0,0.11032661990229299,0.11039876136362652,0.11039876136362654,0.11032661990229298
0.020000000,1.9404800000000006e-06,0.0,1.1,0.00019404800000000005,0.0,0.0,0.9999981599487905,0.0,0.001918358421514895,0.0,0.0,0.34790274203824545,0.0,0.10932997786033095,0.11139664673134468,0.11139664673134468,0.10932997786033094
0.040000000,1.893632000000001e-05,0.0,1.1,0.0015055360000000007,0.0,0.0,0.9999818269597305,0.0,0.006028743673411042,0.0,0.0,0.5287887452221357,0.0,0.10867836524797647,0.11206268074989215,0.11206268074989215,0.10867836524797647
0.060000000,8.324832000000001e-05,0.0,1.1,0.004925663999999999,0.0,0.0,0.9999219464871416,0.0,0.01249403591182365,0.0,0.0,0.7475037707809923,0.0,0.1086848589852315,0.1121090732925887,0.1121090732925887,0.10868485898523146
0.080000000,0.00024563648,0.0,1.1,0.011313152000000002,0.0,0.0,0.999779939556078,0.0,0.020977904119454507,0.0,0.0,0.9331008015540784,0.0,0.10902440529554915,0.1118950358288358,0.1118950358288358,0.10902440529554916
0.100000000,0.000572768,0.0,1.1,0.021400000000000002,0.0,0.0,0.9995146447630615,0.0,0.031152446198830307,0.0,0.0,1.086451754085848,0.0,0.10941127988874531,0.11174296940904334,0.11174296940904334,0.10941127988874524
0.120000000,0.0011447404799999998,0.0,1.1,0.03579724799999999,0.0,0.0,0.9990880576665179,0.0,0.04269722506375335,0.0,0.0,1.2084136470888382,0.0,0.10986221046572608,0.11167052136948472,0.11167052136948472,0.10986221046572604
0.140000000,0.0020527203199999997,0.0,1.1,0.055000736000000015,0.0,0.0,0.9984697895837454,0.0,0.05529990315173476,0.0,0.0,1.2999669825034255,0.0,0.1103898451366504,0.11169345152306387,0.11169345152306387,0.11038984513665039
0.160000000,0.0033966963200000003,0.0,1.1,0.07939686400000004,0.0,0.0,0.997640225791815,0.0,0.06865842906778702,0.0,0.0,1.3623361914826952,0.0,0.11100170522796132,0.11182408737914504,0.11182408737914504,0.11100170522796127
0.180000000,0.005283348480000001,0.0,1.1,0.109268352,0.0,0.0,0.9965923553445107,0.0,0.08248440621645141,0.0,0.0,1.3970692631408785,0.0,0.11169978453836554,0.11207013205155886,0.11207013205155886,0.1116997845383655
0.200000000,0.007824032000000002,0.0,1.1,0.1448,0.0,0.0,0.9953322987290808,0.0,0.09650707283242983,0.0,0.0,1.4060647525995893,0.0,0.11248065935648675,0.11243387546190801,0.11243387546190806,0.11248065935648673
0.220000000,0.011132876480000001,0.0,1.1,0.18608444799999999,0.0,0.0,0.9938786528592357,0.0,0.1104772528202568,0.0,0.0,1.3915452827697654,0.0,0.11333596919532345,0.11291184093323293,0.11291184093323293,0.11333596919532342
0.240000000,0.01532500032,0.0,1.1,0.23312793599999995,0.0,0.0,0.9922608727551805,0.0,0.12417069058005384,0.0,0.0,1.3559860617227222,0.0,0.11425313425465455,0.11349486728106295,0.11349486728106295,0.1142531342546545
