t,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,motor_0_thrust_n,motor_1_thrust_n,motor_2_thrust_n,motor_3_thrust_n
0.000000000,0.0,0.0,1.1,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.11036249999999997,0.1103625,0.1103625,0.1103625
0.020000000,0.0,0.0,1.1,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.11036249999999997,0.1103625,0.1103625,0.1103625
0.040000000,0.0,0.0,1.1,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.11036249999999997,0.1103625,0.1103625,0.1103625
0.060000000,0.0,0.0,1.1,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.11036249999999997,0.1103625,0.1103625,0.1103625
0.080000000,0.0,0.0,1.1,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.11036249999999997,0.1103625,0.1103625,0.1103625
0.100000000,0.0,0.0,1.1,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.11036249999999997,0.1103625,0.1103625,0.1103625
0.120000000,0.0,0.0,1.1,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.11036249999999997,0.1103625,0.1103625,0.1103625
0.140000000,0.0,0.0,1.1,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.11036249999999997,0.1103625,0.1103625,0.1103625
0.160000000,0.0,0.0,1.1,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.11036249999999997,0.1103625,0.1103625,0.1103625
0.180000000,0.0,0.0,1.1,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.11036249999999997,0.1103625,0.1103625,0.1103625
0.200000000,0.0,0.0,1.1,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.11036249999999997,0.1103625,0.1103625,0.1103625
0.220000000,0.0,0.0,1.1,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.11036249999999997,0.1103625,0.1103625,0.1103625
0.240000000,0.0,0.0,1.1,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.11036249999999997,0.1103625,0.1103625,0.1103625
0.260000000,0.0,0.0,1.1,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.11036249999999997,0.1103625,0.1103625,0.1103625
0.280000000,0.0,0.0,1.1,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.11036249999999997,0.1103625,0.1103625,0.1103625
0.300000000,0.0,0.0,1.1,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.11036249999999997,0.1103625,0.1103625,0.1103625
