step,t,x,y,z,vx,vy,vz,next_x,next_y,next_z,next_vx,next_vy,next_vz,nominal_vx,nominal_vy,nominal_vz,command_vx,command_vy,command_vz,accel_x,accel_y,accel_z,constraint_active,sector,azimuth_rad,depth_m,margin_m,a_x,a_y,a_z,b,current_slack_m,lookahead_violation_m,obstacle_clearance_m,obstacle_name,status,constraint_age_frames,gate_collision,admm_status,admm_iterations,admm_pri_res,admm_dua_res,admm_terminal_x,admm_terminal_y,admm_terminal_z
11,0.550000000,0.291456048,-0.004124922,1.098241611,0.871166769,-0.020864265,0.033802239,0.331340817,-0.004286940,1.099049345,0.733077909,0.010821592,0.000546279,0.497189557,0.003712430,0.003516778,0.274809187,-0.112920586,-0.017541509,-0.800000000,-0.263018061,-0.146696420,1,1,-0.349065850,1.199796466,0.924987279,0.915608591,0.328538735,0.231782672,0.794867026,0.274809187,0.068140190,0.958659183,center_box,active,0,False,,,,,,,
12,0.600000000,0.331340817,-0.004286940,1.099049345,0.733077909,0.010821592,0.000546279,0.364188264,-0.003347833,1.098349010,0.596084451,0.019149402,-0.025217421,0.477043264,0.003858246,0.001901310,0.238156360,-0.169193629,-0.026133122,-0.800000000,-0.514329203,-0.076226859,1,1,-0.349065850,1.199796466,0.924987279,0.915608591,0.328538735,0.231782672,0.794867026,0.238156360,0.090713529,0.925811736,center_box,held_active,1,False,,,,,,,
13,0.650000000,0.364188264,-0.003347833,1.098349010,0.596084451,0.019149402,-0.025217421,0.391113379,-0.003362360,1.097017407,0.499511406,-0.024212438,-0.026618019,0.463230563,0.003013050,0.003301979,0.212009034,-0.216818579,-0.036464350,-0.800000000,-0.674194231,-0.032134084,1,3,0.000000000,1.060045172,0.848036138,0.967705682,0.081166888,0.238658017,0.826294151,0.212009034,0.124968554,0.898886621,center_box,active,0,False,,,,,,,
14,0.700000000,0.391113379,-0.003362360,1.097017407,0.499511406,-0.024212438,-0.026618019,0.415070709,-0.006619450,1.096146848,0.471996921,-0.102467658,-0.009500418,0.454747959,0.003026124,0.005965185,0.201056814,-0.244426410,-0.013763672,-0.800000000,-0.629182775,0.036726707,1,3,0.000000000,1.005284070,0.804227256,0.993636178,0.035435747,0.106917978,0.706852952,0.201056814,0.138392468,0.874929291,center_box,active,0,False,,,,,,,
15,0.750000000,0.415070709,-0.006619450,1.096146848,0.471996921,-0.102467658,-0.009500418,0.439054111,-0.013899757,1.095979049,0.490058746,-0.179139700,0.002138888,0.448936362,0.005957505,0.007706304,0.195014724,-0.248688326,0.010898837,-0.791377705,-0.417773338,0.058283585,1,3,0.000000000,0.975073620,0.780058896,0.999851981,0.003145790,-0.016915096,0.591461742,0.195014724,0.141554000,0.850945889,center_box,active,0,False,,,,,,,
16,0.800000000,0.439054111,-0.013899757,1.095979049,0.490058746,-0.179139700,0.002138888,0.464235314,-0.024242229,1.096273932,0.512865987,-0.226570685,0.009545367,0.443101300,0.012509781,0.008041902,0.190676742,-0.250000000,0.017823227,-0.800000000,-0.202458001,0.044812397,1,3,0.000000000,0.953383710,0.762706968,0.997442980,0.048973895,-0.052048619,0.570883262,0.190676742,0.140945031,0.825764686,center_box,active,0,False,,,,,,,
17,0.850000000,0.464235314,-0.024242229,1.096273932,0.512865987,-0.226570685,0.009545367,0.489964703,-0.036650368,1.096768319,0.513529678,-0.268605190,0.009999036,0.436188217,0.021818006,0.007452136,0.185733527,-0.250000000,0.010006344,-0.800000000,-0.066940900,0.001317078,1,3,0.000000000,0.928667633,0.742934107,0.996874073,0.077839673,-0.013530259,0.631797797,0.185733527,0.141583125,0.800035297,center_box,active,0,False,,,,,,,
18,0.900000000,0.489964703,-0.036650368,1.096768319,0.513529678,-0.268605190,0.009999036,0.515654277,-0.051748536,1.097086272,0.517404960,-0.333200857,0.002829320,0.428781767,0.032985331,0.006463362,0.180034594,-0.246099457,0.005427097,-0.800000000,0.064302095,-0.013062684,1,3,0.000000000,0.900172969,0.720138375,0.999847061,0.016609437,0.005475544,0.675321023,0.180034594,0.141939992,0.774424651,center_box,active,0,False,,,,,,,
19,0.950000000,0.515654277,-0.051748536,1.097086272,0.517404960,-0.333200857,0.002829320,0.542389181,-0.070263614,1.097070618,0.554044336,-0.398877972,-0.002957342,0.421411150,0.046573682,0.005827455,0.176825429,-0.250000000,0.011588137,-0.800000000,0.237716735,0.025025192,1,2,-0.174532925,0.884127145,0.707301716,0.988936634,0.145124131,-0.030713537,0.645569474,0.176825429,0.140671252,0.748150922,center_box,active,0,False,,,,,,,
20,1.000000000,0.542389181,-0.070263614,1.097070618,0.554044336,-0.398877972,-0.002957342,0.571449090,-0.091224743,1.097092425,0.602510741,-0.427548631,0.003978105,0.413099737,0.063237253,0.005858764,0.173343646,-0.250000000,0.021593243,-0.800000000,0.425365635,0.070144529,1,2,-0.174532925,0.866718230,0.693374584,0.977954298,0.190594211,-0.085318450,0.596783274,0.173343646,0.138315446,0.720152161,center_box,active,0,False,,,,,,,
