step,t,x,y,z,vx,vy,vz,next_x,next_y,next_z,next_vx,next_vy,next_vz,nominal_vx,nominal_vy,nominal_vz,command_vx,command_vy,command_vz,accel_x,accel_y,accel_z,constraint_active,sector,azimuth_rad,depth_m,margin_m,a_x,a_y,a_z,b,current_slack_m,lookahead_violation_m,obstacle_clearance_m,obstacle_name,status,constraint_age_frames,gate_collision,admm_status,admm_iterations,admm_pri_res,admm_dua_res,admm_terminal_x,admm_terminal_y,admm_terminal_z
11,0.550000000,0.277122567,0.020752516,1.115583693,0.835463020,0.166795412,0.046175016,0.315101453,0.027496847,1.117617010,0.689028858,0.104739597,0.033691396,0.510089690,-0.018677265,-0.031167386,0.600000000,-0.250000000,0.017051491,-0.672751486,-0.800000000,-0.083210071,1,3,0.000000000,1.162830686,0.922676918,0.995000939,-0.020891069,0.097656003,0.580495813,0.196248696,0.000000000,0.974898547,center_box,held_active,1,False,-2,2,0.000000000,0.000000000,1.067653656,-0.197079390,1.128372312
12,0.600000000,0.315101453,0.027496847,1.117617010,0.689028858,0.104739597,0.033691396,0.345185692,0.031008391,1.118330379,0.527755558,0.043657645,-0.001856819,0.491658692,-0.024747162,-0.035234020,0.600000000,0.194018679,0.016886236,-0.254368167,0.255083092,-0.048014744,1,3,0.000000000,1.162830686,0.922676918,0.995000939,-0.020891069,0.097656003,0.580495813,0.158402000,0.000000000,0.944814308,center_box,held_active,2,False,-2,2,0.000000000,0.000000000,1.603571534,0.173010856,1.130281687
13,0.650000000,0.345185692,0.031008391,1.118330379,0.527755558,0.043657645,-0.001856819,0.367467543,0.032149879,1.117658765,0.381661571,0.009103713,-0.021271703,0.480332877,-0.027907552,-0.036660757,0.600000000,0.241106413,0.010313009,0.206412690,0.564139336,0.034770936,1,3,0.000000000,1.162830686,0.922676918,0.995000939,-0.020891069,0.097656003,0.580495813,0.128471848,0.000000000,0.922532457,center_box,held_active,3,False,-2,2,0.000000000,0.000000000,1.879945636,0.211838201,1.126065135
14,0.700000000,0.367467543,0.032149879,1.117658765,0.381661571,0.009103713,-0.021271703,0.383753806,0.031895784,1.116668337,0.290665448,-0.018959330,-0.016494447,0.476029211,-0.028934891,-0.035317530,0.600000000,-0.145831026,-0.028035522,0.623824082,-0.442670683,-0.019325197,1,3,0.000000000,1.054738983,0.843791187,0.969464932,0.058161681,0.238233004,0.835327789,0.210947797,0.000000000,0.906246194,center_box,active,0,False,-2,2,0.000000000,0.000000000,2.024227142,-0.077223390,1.096632123
15,0.750000000,0.383753806,0.031895784,1.116668337,0.290665448,-0.018959330,-0.016494447,0.397896075,0.029518751,1.117156244,0.290321640,-0.075908516,0.031548310,0.477121575,-0.028706206,-0.033336675,0.600000000,0.010130006,0.040572016,0.800000000,0.083112389,0.163047038,1,3,0.000000000,1.009533117,0.807626494,0.996744116,0.040886048,0.069494599,0.663317482,0.201906623,0.000000000,0.892103925,center_box,active,0,False,-2,2,0.000000000,0.000000000,1.722317219,0.039493289,1.147097349
16,0.800000000,0.397896075,0.029518751,1.117156244,0.290321640,-0.075908516,0.031548310,0.414043009,0.023911875,1.119716225,0.357561296,-0.141431029,0.067077777,0.480143533,-0.026566876,-0.034312488,0.600000000,0.250000000,0.078683566,0.800000000,0.800000000,0.134672161,1,3,0.000000000,0.997271792,0.797817433,0.994817996,-0.029194652,-0.097390078,0.485626811,0.199454358,0.000000000,0.875956991,center_box,active,0,False,-2,2,0.000000000,0.000000000,1.066098809,0.476642579,1.176168919
17,0.850000000,0.414043009,0.023911875,1.119716225,0.357561296,-0.141431029,0.067077777,0.434285790,0.015733201,1.123110138,0.446035187,-0.175011448,0.068819490,0.481361292,-0.021520687,-0.039432450,0.110399168,0.250000000,0.073618971,-0.706177510,0.800000000,0.018689127,1,2,-0.174532925,0.994049417,0.795239534,0.981799269,0.101629438,-0.160442052,0.428097588,0.198809883,0.000000000,0.855714210,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.496842384,0.480716944,1.174930453
18,0.900000000,0.434285790,0.015733201,1.123110138,0.446035187,-0.175011448,0.068819490,0.458779995,0.007395998,1.126562808,0.522599495,-0.151621024,0.069573868,0.478892789,-0.014159881,-0.046220275,0.050000000,0.250000000,0.066377372,-0.800000000,0.800000000,-0.006977482,1,3,0.000000000,0.971438387,0.777150709,0.983813512,-0.032189751,-0.176280442,0.423055106,0.194287677,0.000000000,0.831220005,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.135590166,0.582296312,1.172893167
19,0.950000000,0.458779995,0.007395998,1.126562808,0.522599495,-0.151621024,0.069573868,0.486182540,0.001280609,1.129934739,0.565693804,-0.095421586,0.065763703,0.472598005,-0.006656398,-0.053125617,0.050000000,0.026068607,0.043255681,-0.800000000,0.507684661,-0.075194819,1,3,0.000000000,0.937301899,0.749841519,0.993511276,0.002540524,-0.113705279,0.515186129,0.187460380,0.000000000,0.803817460,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.172058612,0.026947454,1.159004569
20,1.000000000,0.486182540,0.001280609,1.129934739,0.565693804,-0.095421586,0.065763703,0.515406523,-0.002005745,1.132899647,0.602328200,-0.042687701,0.053893790,0.463685714,-0.001152549,-0.059869479,0.050000000,-0.250000000,0.038890903,-0.800000000,-0.441652611,-0.076779429,1,2,-0.174532925,0.913771929,0.731017543,0.989106177,0.119478197,-0.085987968,0.566632752,0.182754386,0.000000000,0.774593477,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.377667010,-0.353358030,1.159102917
