time_s,measured_signed_tangent_speed_mps,inferred_local_path_curvature_per_m,commanded_speed_mps,commanded_curvature_speed_rate_radps,inferred_measured_speed_geometric_rate_radps,quaternion_euler_yaw_unwrapped_rad,quaternion_euler_yaw_rate_radps,measured_body_wz_radps,euler_yaw_rate_minus_geometric_radps,body_wz_minus_geometric_radps,euler_yaw_rate_minus_commanded_radps,body_wz_minus_commanded_radps,body_wz_minus_euler_yaw_rate_radps,tangent_yaw_error_deg,tilt_deg
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,5.323400445257719e-40,0.0,1.0,0.0,0.0,0.0,0.0,-1.1005539652409593e-39,0.0,-1.1005539652409593e-39,0.0,-1.1005539652409593e-39,-1.1005539652409593e-39,0.0,0.0
0.04,2.6231384571240355e-38,0.0,1.0,0.0,0.0,0.0,0.00022977810702110114,-1.0079818070360497e-37,0.00022977810702110114,-1.0079818070360497e-37,0.00022977810702110114,-1.0079818070360497e-37,-0.00022977810702110114,0.0,0.0
0.06,1.282820092753035e-05,0.0,1.0,0.0,0.0,9.191124280844041e-06,0.006107067733476818,0.0023633565292635697,0.006107067733476818,0.0023633565292635697,0.006107067733476818,0.0023633565292635697,-0.0037437112042132486,0.0005266126302694253,0.0457470540689405
0.08,0.0008569245276665731,0.0,1.0,0.0,0.0,0.0002442827093390728,0.03871178792734862,0.0294755663431213,0.03871178792734862,0.0294755663431213,0.03871178792734862,0.0294755663431213,-0.009236221584227319,0.013996368253159806,0.8279107777401127
0.1,0.0055482003901750595,10.180319584321074,1.0,10.180319584321074,0.05648245308983698,0.0015576626413747892,0.09687303204690854,0.10867002317409546,0.040390578957071564,0.052187570084258485,-10.083446552274166,-10.071649561146979,0.01179699112718692,0.08924749525598207,2.4044249297144225
0.12,0.018386073490488125,1.333333697776115,1.0,1.333333697776115,0.024514771354655934,0.004119203991215413,0.1431145068524341,0.19397238552076718,0.11859973549777816,0.16945761416611124,-1.1902191909236808,-1.1393613122553479,0.05085787866833308,0.21549880451906103,4.954148307941661
0.14,0.04551707781970603,1.333336384126373,1.0,1.333336384126373,0.06068957595612557,0.007282242915472155,0.16681538856131709,0.2805822454784496,0.10612581260519152,0.21989266952232406,-1.166520995565056,-1.0527541386479233,0.11376685691713254,0.34658660827849835,8.445954594568802
0.16,0.09129559878198137,1.3333357966529493,1.0,1.3333357966529493,0.12172768993288116,0.010791819533668097,0.17201369791690851,0.38771818164162614,0.05028600798402735,0.265990491708745,-1.1613220987360409,-0.9456176150113231,0.21570448372471762,0.4503194624724348,12.466496981284983
0.18,0.1552865089071681,1.33333624402016,1.0,1.33333624402016,0.20704913053328663,0.014162790832148492,0.20140480174451786,0.45046194372994447,-0.0056443287887687765,0.24341281319665783,-1.1319314422756421,-0.8828743002902155,0.2490571419854266,0.45609308963690404,16.610501028693843
0.2,0.23376533546613007,1.3333323858934687,1.0,1.3333323858934687,0.3116868924762423,0.018848011603448813,0.3122533566472197,0.4890575649206724,0.0005664641709773877,0.1773706724444301,-1.021079029246249,-0.8442748209727963,0.17680420827345272,0.4369678663118021,19.425282812028456
0.22,0.32231490572868954,1.3333426160129012,1.0,1.3333426160129012,0.42975619958424255,0.026652925098037277,0.47572584154589986,0.5387254360554415,0.045969641961657315,0.108969236471199,-0.8576167744670014,-0.7946171799574596,0.06299959450954168,0.4180557038276139,20.87441182264758
0.24,0.41295023840090134,1.3333019617700956,1.0,1.3333019617700956,0.5505873629733504,0.0378770452652848,0.6282575584320041,0.574064308103859,0.07767019545865372,0.023476945130508575,-0.7050444033380915,-0.7592376536662366,-0.05419325032814515,0.5015023611235094,21.115158666712297
0.26,0.5003076397689903,1.3333163997480302,1.0,1.3333163997480302,0.6670683810232245,0.05178322743531745,0.7355188889119928,0.5989592383010285,0.06845050788876827,-0.06810914272219604,-0.5977975108360374,-0.7343571614470017,-0.1365596506109643,0.5858893957837875,20.30673117451014
0.28,0.5801360802033426,1.3333766676339704,1.0,1.3333766676339704,0.7735399133957668,0.06729780082176454,0.7867170996172614,0.6139574645544816,0.013177186221494663,-0.15958244884128514,-0.546659568016709,-0.7194192030794888,-0.1727596350627798,0.7152675467934486,18.731664616713385
0.3,0.6505323381479766,1.333340221522304,1.0,1.333340221522304,0.8673809318536455,0.08325191142000789,0.7900180668316907,0.6197241142216264,-0.07736286502195477,-0.24765681763201908,-0.5433221546906133,-0.7136161073006776,-0.1702939526100643,0.5943565386878297,16.643960416365367
0.32,0.7094656923421627,1.3333091338456984,1.0,1.3333091338456984,0.9459370877499677,0.09889852349503214,0.7628475149779774,0.6188274769885836,-0.18308957277199023,-0.327109610761384,-0.570461618867721,-0.7144816568571147,-0.14402003798939378,0.43060126128359827,14.2677144462413
0.34,0.757078953866294,1.3333326902291798,1.0,1.3333326902291798,1.0094381182744387,0.113765812019127,0.722737051323469,0.6113681271819739,-0.28670106695096975,-0.3980699910924649,-0.6105956389057108,-0.7219645630472059,-0.11136892414149513,0.0707925205980123,11.797139295180715
0.36,0.793165472058896,1.3332128739072393,1.0,1.3332128739072393,1.0574584184876328,0.1278080055479709,0.6807803855987316,0.600444088930492,-0.3766780328889012,-0.45701432955714083,-0.6524324883085078,-0.7327687849767474,-0.0803362966682396,-0.28829266727102604,9.38522180317406
0.38,0.8192418128959361,1.3334793158562914,1.0,1.3334793158562914,1.0924420121813407,0.14099702744307624,0.6410398428306459,0.5831147348215017,-0.4514021693506949,-0.5093272773598391,-0.6924394730256456,-0.7503645810347898,-0.05792510800914419,-0.8152397353378574,7.155779380443257
0.4,0.8365014988161331,1.3332188102256244,1.0,1.3332188102256244,1.1152395330035965,0.15344959926119675,0.6101937006013856,0.5698272054767041,-0.5050458324022109,-0.5454123275268924,-0.7230251096242388,-0.7633916047489203,-0.04036649512468149,-1.506433236842431,5.125844891887501
0.42,0.8456330899930321,1.3333615004243649,1.0,1.3333615004243649,1.1275346056816011,0.16540477546713167,0.6019890657218041,0.5669674405912964,-0.525545539959797,-0.5605671650903047,-0.7313724347025607,-0.7663940598330684,-0.03502162513050766,-2.0870840297633224,3.417166521413055
