step,t,x,y,z,vx,vy,vz,next_x,next_y,next_z,next_vx,next_vy,next_vz,nominal_vx,nominal_vy,nominal_vz,command_vx,command_vy,command_vz,accel_x,accel_y,accel_z,constraint_active,sector,azimuth_rad,depth_m,margin_m,a_x,a_y,a_z,b,current_slack_m,lookahead_violation_m,obstacle_clearance_m,obstacle_name,status,constraint_age_frames,gate_collision,admm_status,admm_iterations,admm_pri_res,admm_dua_res,admm_terminal_x,admm_terminal_y,admm_terminal_z
11,0.550000000,0.257050984,-0.079394140,1.109978541,0.685608228,-0.376040140,0.013323590,0.287137217,-0.099586984,1.109756386,0.528034706,-0.421571036,-0.019829268,0.528154115,0.071454726,-0.019957082,0.175504642,-0.250000000,0.005602222,-0.800000000,0.360114686,-0.022061051,1,2,-0.174532925,1.221553059,0.926347066,0.992786893,0.111389187,0.044346747,0.514957939,0.219380803,0.000000000,1.004471334,center_box,held_active,2,False,-2,2,0.000000000,0.000000000,1.735376000,-1.157385349,1.114180207
12,0.600000000,0.287137217,-0.099586984,1.109756386,0.528034706,-0.421571036,-0.019829268,0.309065033,-0.120802760,1.108280686,0.366211410,-0.419757168,-0.036590757,0.516826505,0.089628285,-0.019512772,0.153416561,-0.250000000,-0.001602220,-0.800000000,0.490202961,0.052077280,1,2,-0.174532925,1.221553059,0.926347066,0.992786893,0.111389187,0.044346747,0.514957939,0.191770701,0.000000000,0.983950870,center_box,held_active,3,False,-2,2,0.000000000,0.000000000,2.231772423,-1.196598411,1.108554721
13,0.650000000,0.309065033,-0.120802760,1.108280686,0.366211410,-0.419757168,-0.036590757,0.323770165,-0.141123072,1.106861096,0.243449503,-0.395621756,-0.018995752,0.512841471,0.108722484,-0.016561373,0.137943763,-0.250000000,-0.001319128,-0.652193278,0.485020479,0.100776084,1,2,-0.174532925,1.221553059,0.926347066,0.992786893,0.111389187,0.044346747,0.514957939,0.172429703,0.000000000,0.971014442,center_box,held_active,4,False,-2,2,0.000000000,0.000000000,2.475113630,-1.452411056,1.107291341
14,0.700000000,0.323770165,-0.141123072,1.106861096,0.243449503,-0.395621756,-0.018995752,0.334380936,-0.160645832,1.106777841,0.197149615,-0.388405073,0.014033742,0.515356851,0.127010765,-0.013722192,0.177424284,-0.250000000,-0.019391035,-0.188643484,0.416062161,-0.001129382,1,1,-0.349065850,1.108901774,0.887121419,0.961518738,0.241104224,0.131721183,0.644863119,0.221780355,0.000000000,0.962490953,center_box,active,0,False,-2,2,0.000000000,0.000000000,2.295673370,-1.525405645,1.092317820
15,0.750000000,0.334380936,-0.160645832,1.106777841,0.197149615,-0.388405073,0.014033742,0.344348323,-0.179779406,1.108358203,0.206768636,-0.372916644,0.046219239,0.521557158,0.144581249,-0.013555681,0.174397149,-0.250000000,0.040299503,-0.065007046,0.395443066,0.075045032,1,1,-0.349065850,1.089982182,0.871985746,0.968473689,0.249019285,0.006936113,0.509508400,0.217996436,0.000000000,0.954952943,center_box,active,0,False,-2,2,0.000000000,0.000000000,1.754840374,-1.248652458,1.137002468
16,0.800000000,0.344348323,-0.179779406,1.108358203,0.206768636,-0.372916644,0.046219239,0.355456732,-0.197045358,1.110894661,0.238742898,-0.315865928,0.053625066,0.528336509,0.161801465,-0.016716406,0.170276427,-0.250000000,0.034972272,-0.104263457,0.351190412,-0.032134191,1,2,-0.174532925,1.064227666,0.851382133,0.982545098,0.175009628,-0.063061562,0.449825364,0.212845533,0.000000000,0.946395249,center_box,active,0,False,-2,2,0.000000000,0.000000000,1.374975801,-1.234197378,1.134587407
17,0.850000000,0.355456732,-0.197045358,1.110894661,0.238742898,-0.315865928,0.053625066,0.369042269,-0.210722470,1.113650047,0.304593307,-0.237391706,0.055636873,0.534088941,0.177340822,-0.021789322,0.173074271,-0.250000000,0.063185717,-0.187624649,0.188188365,0.027316147,1,2,-0.174532925,1.081714194,0.865371356,0.956392431,0.255121722,-0.142219638,0.348037380,0.216342839,0.000000000,0.935133252,center_box,active,0,False,-2,2,0.000000000,0.000000000,1.283680797,-1.770785809,1.158283949
18,0.900000000,0.369042269,-0.210722470,1.113650047,0.304593307,-0.237391706,0.055636873,0.386476873,-0.220794253,1.116439935,0.385554888,-0.176538353,0.056663096,0.537611958,0.189650223,-0.027300095,0.172104924,-0.250000000,0.075689205,-0.378538236,-0.036023697,0.057292377,1,2,-0.174532925,1.075655776,0.860524621,0.949149118,0.246975349,-0.195241207,0.295933664,0.215131155,0.000000000,0.919678983,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.925837338,-1.917825341,1.170416951
19,0.950000000,0.386476873,-0.220794253,1.116439935,0.385554888,-0.176538353,0.056663096,0.407573469,-0.228982026,1.119194368,0.450641606,-0.158366103,0.054250053,0.537670814,0.198714828,-0.032879871,0.172682586,-0.250000000,0.050867880,-0.608206576,-0.209890419,-0.016557762,1,1,-0.349065850,1.079266165,0.863412932,0.929819871,0.331257856,-0.160322302,0.323077058,0.215853233,0.000000000,0.900437952,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.845601022,-1.944232583,1.154590845
20,1.000000000,0.407573469,-0.228982026,1.119194368,0.450641606,-0.158366103,0.054250053,0.431867471,-0.236856813,1.121660687,0.518318742,-0.156326668,0.044775057,0.534433878,0.206083823,-0.038388736,0.164007869,-0.250000000,0.036049393,-0.800000000,-0.261811134,-0.052001886,1,1,-0.349065850,1.025049183,0.820039346,0.958418920,0.255817678,-0.126453505,0.395532260,0.205009837,0.000000000,0.878146486,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.764152050,-1.495962024,1.146231413
21,1.050000000,0.431867471,-0.236856813,1.121660687,0.518318742,-0.156326668,0.044775057,0.460084158,-0.244319499,1.123683426,0.604578824,-0.141714198,0.036515260,0.528319277,0.213171132,-0.043321375,0.084905848,-0.250000000,0.048002225,-0.800000000,-0.267638092,0.009220481,1,1,-0.349065850,1.009624105,0.807699284,0.948999260,0.266128218,-0.169044891,0.359121441,0.201924821,0.000000000,0.852097648,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.446933478,-1.463003755,1.161618233
22,1.100000000,0.460084158,-0.244319499,1.123683426,0.604578824,-0.141714198,0.036515260,0.492484069,-0.251150347,1.125361544,0.680495281,-0.136992720,0.031758673,0.518674258,0.219887549,-0.047366851,0.050000000,-0.250000000,0.039646661,-0.800000000,-0.309388005,0.008946860,1,1,-0.349065850,1.016243518,0.812994814,0.915052175,0.362712415,-0.176406406,0.337407043,0.203248704,0.000000000,0.822019151,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.086314827,-1.613195777,1.153418422
23,1.150000000,0.492484069,-0.251150347,1.125361544,0.680495281,-0.136992720,0.031758673,0.527722036,-0.258847123,1.127006203,0.718552971,-0.174406573,0.033944492,0.505264338,0.226035313,-0.050723087,0.050000000,-0.250000000,0.016564394,-0.800000000,-0.322877943,-0.043412228,1,2,-0.174532925,0.941846872,0.753477497,0.952931902,0.287033435,-0.097635019,0.475709912,0.188369374,0.000000000,0.789616406,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.062204722,-1.280245185,1.137784839
24,1.200000000,0.527722036,-0.258847123,1.127006203,0.718552971,-0.174406573,0.033944492,0.563720921,-0.269096460,1.128582065,0.716566023,-0.230614688,0.029505670,0.489300167,0.232962411,-0.054012406,0.050000000,-0.250000000,-0.001309593,-0.800000000,-0.215981220,-0.100725959,1,2,-0.174532925,0.898862132,0.719089706,0.959299466,0.282295149,0.007347334,0.621225098,0.179772426,0.000000000,0.757451051,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.348259628,-0.866394520,1.126024008
25,1.250000000,0.563720921,-0.269096460,1.128582065,0.716566023,-0.230614688,0.029505670,0.599154268,-0.281723920,1.129835920,0.703403552,-0.265176438,0.021783193,0.472651172,0.242186814,-0.057164131,0.095532286,-0.250000000,-0.003467169,-0.800000000,-0.055386606,-0.094208111,1,1,-0.349065850,0.887951755,0.710361404,0.930545015,0.360952719,0.061636917,0.674589264,0.177590351,0.000000000,0.726962772,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.635370135,-0.721894801,1.125981688
