step,t,k,x,y,z,vx,vy,vz
2,0.100000000,7,0.165641367,-0.128342077,1.108793139,3.266496420,-2.927726746,0.093419790
2,0.100000000,8,0.238458201,-0.195679307,1.110667586,4.013797283,-3.813675880,0.094023749
2,0.100000000,9,0.326051503,-0.281056583,1.112559319,4.739882469,-4.725137711,0.095148429
2,0.100000000,10,0.427756906,-0.384602875,1.114483833,5.421354771,-5.624505043,0.097310401
2,0.100000000,11,0.542476296,-0.505729198,1.116462827,6.038154125,-6.477719307,0.100589782
2,0.100000000,12,0.668739915,-0.643205166,1.118522167,6.573105335,-7.254752159,0.105348617
2,0.100000000,13,0.804760754,-0.795241475,1.120679259,7.011611462,-7.929745197,0.110355772
2,0.100000000,14,0.948484898,-0.959574521,1.122893453,7.341662884,-8.481182098,0.111055754
2,0.100000000,15,1.097647905,-1.133557200,1.125089049,7.554203987,-8.892250061,0.108510084
2,0.100000000,16,1.249831676,-1.314250827,1.127204657,7.642889977,-9.150514603,0.103051558
2,0.100000000,17,1.402516365,-1.498508453,1.129200578,7.603818417,-9.247525215,0.096542485
2,0.100000000,18,1.553125620,-1.683049798,1.131057382,7.435218334,-9.178353310,0.089138441
2,0.100000000,19,1.699068427,-1.864529967,1.132758856,7.137412071,-8.941417694,0.081006244
2,0.100000000,20,1.837782145,-2.039605379,1.134292245,6.712943554,-8.538476944,0.072323591
2,0.100000000,21,1.966779828,-2.205003262,1.135649800,6.166913986,-7.974884033,0.063434586
2,0.100000000,22,2.083708525,-2.357599497,1.136853576,5.507847309,-7.260428905,0.056940950
2,0.100000000,23,2.186434746,-2.494526386,1.137939811,4.749601841,-6.411382198,0.051679630
2,0.100000000,24,2.273177147,-2.613330841,1.138756156,3.914024591,-5.453548908,0.029959405
3,0.150000000,0,0.006223585,-0.003830058,1.103505373,0.155236527,-0.070646212,0.051115364
3,0.150000000,1,0.009965032,-0.005318985,1.104332447,0.227972552,-0.079097636,0.031589203
3,0.150000000,2,0.015951237,-0.007149866,1.104831338,0.388831198,-0.113575995,0.018301662
3,0.150000000,3,0.026239933,-0.010500741,1.105475783,0.657455623,-0.243070796,0.046132803
3,0.150000000,4,0.042859443,-0.017882681,1.106636047,1.017880201,-0.523075581,0.069890641
3,0.150000000,5,0.067386642,-0.032556619,1.108161092,1.443573833,-0.972799838,0.082605213
3,0.150000000,6,0.100858659,-0.057861004,1.109824657,1.908122420,-1.582771182,0.083749302
3,0.150000000,7,0.143812671,-0.096750319,1.111458540,2.388080597,-2.325711489,0.079641640
3,0.150000000,8,0.196348473,-0.151527479,1.113004446,2.863115549,-3.164947271,0.074945278
3,0.150000000,9,0.258187979,-0.223719150,1.114478469,3.315714121,-4.060340405,0.072451606
3,0.150000000,10,0.328728467,-0.314047694,1.115930080,3.730872154,-4.972072124,0.072715618
3,0.150000000,11,0.407088965,-0.422460407,1.117413402,4.095693111,-5.862705231,0.075613290
3,0.150000000,12,0.492148250,-0.548188388,1.118983746,4.398989677,-6.698154926,0.081419729
3,0.150000000,13,0.582577050,-0.689819336,1.120625734,4.631236553,-7.448326111,0.082781479
3,0.150000000,14,0.676879108,-0.845388174,1.122274160,4.785302639,-8.088130951,0.082070790
3,0.150000000,15,0.773437083,-1.012476683,1.123895407,4.856118679,-8.597211838,0.080052301
3,0.150000000,16,0.870549738,-1.188302875,1.125464559,4.840347290,-8.959539413,0.076860905
3,0.150000000,17,0.966465414,-1.369805336,1.126959562,4.736265182,-9.163161278,0.072640277
3,0.150000000,18,1.059413671,-1.553722739,1.128361344,4.543706417,-9.199981689,0.067543134
3,0.150000000,19,1.147636175,-1.736669064,1.129654050,4.264063835,-9.065608978,0.061731182
3,0.150000000,20,1.229418874,-1.915207028,1.130825162,3.900388479,-8.759334564,0.055374186
3,0.150000000,21,1.303127408,-2.085923910,1.131865382,3.457675457,-8.284393311,0.048648510
3,0.150000000,22,1.367251396,-2.245516300,1.132769227,2.943473577,-7.648735523,0.041734062
3,0.150000000,23,1.420466781,-2.390901804,1.133562207,2.369221210,-6.866900921,0.037565611
3,0.150000000,24,1.461737156,-2.519383907,1.134050488,1.752563834,-5.963630199,0.011277352
4,0.200000000,0,0.017838892,-0.007733109,1.106086731,0.300247818,-0.081280433,0.051312029
4,0.200000000,1,0.024463624,-0.009465285,1.106719732,0.365469575,-0.097694173,0.011994250
4,0.200000000,2,0.032693937,-0.012095236,1.106752872,0.465053350,-0.182451576,-0.008675171
4,0.200000000,3,0.043379530,-0.017637772,1.106873631,0.611491382,-0.397506505,0.020741228
4,0.200000000,4,0.057448611,-0.029087523,1.107557178,0.802218556,-0.775782585,0.047603540
4,0.200000000,5,0.075699762,-0.049754888,1.108610749,1.027837992,-1.317100644,0.057751827
4,0.200000000,6,0.098717280,-0.082710825,1.109755516,1.276869655,-1.999830246,0.056721002
4,0.200000000,7,0.126852214,-0.130467519,1.110827088,1.537623763,-2.791075706,0.050436813
4,0.200000000,8,0.160224587,-0.194821328,1.111760616,1.798738599,-3.652993917,0.042921692
4,0.200000000,9,0.198732778,-0.276797414,1.112556219,2.049457073,-4.546853542,0.036636449
4,0.200000000,10,0.242068008,-0.376659513,1.113252997,2.279845715,-5.435562134,0.033038799
4,0.200000000,11,0.289732307,-0.493958503,1.113912344,2.480941296,-6.285101891,0.032896444
4,0.200000000,12,0.341058701,-0.627601743,1.114604115,2.644800663,-7.065213680,0.036284305
4,0.200000000,13,0.395231485,-0.775931299,1.115374207,2.764517069,-7.749663353,0.040730655
4,0.200000000,14,0.451309294,-0.936807275,1.116234183,2.834469557,-8.316514969,0.045267139
4,0.200000000,15,0.508252025,-1.107694149,1.117168784,2.850414276,-8.748126984,0.048190042
4,0.200000000,16,0.564949274,-1.285745859,1.118145108,2.809579849,-9.031083107,0.049440615
4,0.200000000,17,0.620249510,-1.467888355,1.119133234,2.710583687,-9.155924797,0.049374249
4,0.200000000,18,0.672986209,-1.650895357,1.120108604,2.553315163,-9.116842270,0.048153035
4,0.200000000,19,0.722003102,-1.831459045,1.121049643,2.338916302,-8.911485672,0.045950338
4,0.200000000,20,0.766180217,-2.006258965,1.121938586,2.069873095,-8.540949821,0.042949904
4,0.200000000,21,0.804462373,-2.172033072,1.122761488,1.750270247,-8.010038376,0.039344333
4,0.200000000,22,0.835896432,-2.325658321,1.123515368,1.386360884,-7.328099728,0.036043417
4,0.200000000,23,0.859684169,-2.464258194,1.124154568,0.987516820,-6.510742664,0.027880959
4,0.200000000,24,0.875250816,-2.585348845,1.124437332,0.566767752,-5.582160473,0.000394035
5,0.250000000,0,0.036700089,-0.012026247,1.108075857,0.441438586,-0.093114927,0.030194456
5,0.250000000,1,0.046099078,-0.014187942,1.108206868,0.500201106,-0.134135738,-0.017083166
5,0.250000000,2,0.056841247,-0.018168237,1.107663751,0.578397691,-0.288855046,-0.037227772
5,0.250000000,3,0.069424056,-0.026834128,1.107196927,0.684805930,-0.606368601,-0.009455340
5,0.250000000,4,0.084417664,-0.043520939,1.107315779,0.818665624,-1.088511229,0.021327944
5,0.250000000,5,0.102302358,-0.071301088,1.107891202,0.972345233,-1.710211873,0.036210440
5,0.250000000,6,0.123380266,-0.112615086,1.108633876,1.136421561,-2.435463905,0.038052760
5,0.250000000,7,0.147769600,-0.169149280,1.109349608,1.302075148,-3.225760698,0.033527102
5,0.250000000,8,0.175421044,-0.241826952,1.109956384,1.461363196,-4.043703556,0.027152881
5,0.250000000,9,0.206134871,-0.330849737,1.110445142,1.607192278,-4.854734898,0.021724790
5,0.250000000,10,0.239578068,-0.435764045,1.110851407,1.733316898,-5.627977848,0.018896850
5,0.250000000,11,0.275301069,-0.555538654,1.111235738,1.834330678,-6.336564541,0.019536221
5,0.250000000,12,0.312754244,-0.688645184,1.111670494,1.905621171,-6.957640648,0.023938395
5,0.250000000,13,0.351303250,-0.833137214,1.112211347,1.943339944,-7.472239494,0.030148434
5,0.250000000,14,0.390245736,-0.986727834,1.112885952,1.944555163,-7.865262032,0.037309460
