time_after_launch_s,world_time_s,time_s,x_m,y_m,z_m,qw,qx,qy,qz,vx_mps,vy_mps,vz_mps,wx_radps,wy_radps,wz_radps,rpm_1,rpm_2,rpm_3,rpm_4,contacts,airborne,unwrapped_yaw_deg,inferred_tangent_yaw_deg,inferred_desired_yaw_rate_radps,inferred_scheduled_speed_mps,cross_track_m,along_track_m,inferred_progress_m,inferred_progress_fraction,diagnostic_schedule_lag_m,altitude_error_m,tangent_speed_mps,tangent_speed_error_mps,normal_speed_mps,world_velocity_mismatch_mps,tangent_yaw_error_deg,yaw_rate_mismatch_radps,roll_deg,pitch_deg,tilt_deg,local_rodrigues_norm,rate_norm_radps,rpm_collective_mode_fraction,rpm_roll_mode_fraction,rpm_pitch_mode_fraction,rpm_yaw_mode_fraction,rpm_saturation_proxy
0.0,1.9349999999998977,1.9349999999998977,0.0,0.0,1.4999950950017502,1.0,0.0,0.0,0.0,0.0,0.0,-0.009809995733430629,0.0,0.0,0.0,249.49721846316245,249.49721846316245,249.49721846316245,249.49721846316245,0.0,1.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,-4.904998249788406e-06,0.0,-0.15,0.0,0.1503204444388385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.019999999999997797,1.9549999999998955,1.9549999999998955,-1.5585968026007306e-42,-4.7744544206086096e-26,1.49787316044305,1.0,4.547407597576483e-21,0.0,0.0,-3.546259594835097e-38,-1.892133980636064e-23,-0.19896271915225067,2.090378768418967e-18,2.2174957938844975e-18,-5.012957263536934e-40,5069.794058000762,5069.794058000762,5069.794058000762,5069.794058000762,0.0,1.0,0.0,0.0,0.0,0.15,4.7744544206086096e-26,-1.5585968026007306e-42,0.0,0.0,0.0015750001740831132,-0.002126839556950033,-3.546259594835097e-38,-0.15,-1.892133980636064e-23,0.2491709525856844,0.0,-5.012957263536934e-40,5.210945261337151e-19,0.0,0.0,4.547407597576483e-21,3.0474531975655075e-18,1.0,0.0,0.0,0.0,0.0
0.039999999999995595,1.9749999999998933,1.9749999999998933,-5.066257057155408e-39,-2.336095694741834e-23,1.4923040757579578,1.0,9.907994532467119e-20,0.0,0.0,-5.4183020928838965e-37,-4.5497963086825076e-21,-0.3492093834384948,9.728869362001908e-18,3.1415841773377346e-18,-6.206037443798593e-38,9501.094903682382,9501.094903682382,9501.094903682382,9501.094903682382,0.0,1.0,0.0,0.0,0.0,0.15,2.336095694741834e-23,-5.066257057155408e-39,0.0,0.0,0.0030750003095823173,-0.00769592424204224,-5.4183020928838965e-37,-0.15,-4.5497963086825076e-21,0.38006209161332266,0.0,-6.206037443798593e-38,1.1353725402981224e-17,0.0,0.0,9.907994532467119e-20,1.0223524353479979e-17,1.0,0.0,0.0,0.0,0.0
0.05999999999999339,1.994999999999891,1.994999999999891,-5.630569489562686e-39,-3.7294308324593996e-22,1.4842853709832151,1.0,2.365229464250209e-19,0.0,0.0,1.088974124278996e-36,-3.739663565876302e-20,-0.4429861777732128,1.6530391915072465e-17,1.2557218289106308e-17,-1.7885783543710645e-37,12748.816896884431,12748.816896884431,12748.816896884431,12748.816896884431,0.0,1.0,0.0,0.0,0.0,0.15,3.7294308324593996e-22,-5.630569489562686e-39,0.0,0.0,0.004575000447942771,-0.015714629016784887,1.088974124278996e-36,-0.15,-3.739663565876302e-20,0.4676930122399954,0.0,-1.7885783543710645e-37,2.7103533176305157e-17,0.0,0.0,2.365229464250209e-19,2.0759036298107842e-17,1.0,0.0,0.0,0.0,0.0
0.07999999999999141,2.014999999999889,2.014999999999889,6.417776749973357e-09,-7.1874712217014884e-09,1.4749579062357958,0.9999999972881074,5.4822974023650836e-05,4.8955167293125684e-05,4.649568992706996e-06,2.626193699316541e-06,-2.9410803572024844e-06,-0.48120970561419363,0.026282364961780356,0.02347134066963754,0.002227574870023258,14908.529526232871,15129.088178940849,15129.088178940849,15129.088178940849,0.0,1.0,0.0005331089093949323,0.0,0.0,0.15,7.1874712217014884e-09,0.0,6.417776749973357e-09,1.3619034753436434e-09,0.006074993571778677,-0.025042093764204187,2.626193699316541e-06,-0.14999737380630068,-2.9410803572024844e-06,0.5040456258462481,0.0005331089093886647,0.002227574870023258,0.00628227617286392,0.0056098197265005015,0.008422414801244005,7.34994348405643e-05,0.03530762850455918,0.9998406440607587,5.311864641374187e-05,5.311864641374187e-05,5.311864641374187e-05,0.0
0.09999999999998921,2.034999999999887,2.034999999999887,8.836158058342399e-07,-9.222247424808374e-07,1.4653349770543238,0.999999451178765,0.0006008438918637554,0.0008541639085424486,8.386181141063514e-05,0.00014046796877457155,-0.00013220987707038268,-0.4756327322866685,0.01913624345280602,0.15697453050809712,0.016094442355340816,16301.310145378833,16873.60060581779,16278.135417305271,16330.543879739153,0.0,1.0,0.009668675175361833,0.0,0.0,0.15,9.222247424808374e-07,0.0,8.836158058342399e-07,1.8751033009043532e-07,0.007574116116471679,-0.034665022945676194,0.00014046796877457155,-0.14985953203122543,-0.00013220987707038268,0.4986826574511602,0.009668675175358316,0.016094442355340816,0.06885992594951765,0.09787419380216329,0.11967055862643021,0.0010443231386420928,0.15895354703954223,0.999078800008191,0.00025466826729014504,0.00030113138573164335,0.0003654003387871253,0.0
0.119999999999987,2.0549999999998847,2.0549999999998847,1.0527756057203844e-05,-5.31846439633191e-06,1.456110705578038,0.9999942997423058,-0.0005931545547044212,0.00330443721399266,0.0003596460327943396,0.0010259698138293622,-0.00021216589049762548,-0.44271973824268956,-0.18094668300178013,0.29019796174129325,0.0357094917098469,17260.215101472008,17370.259493035453,17351.550647581767,17504.118964356603,0.0,1.0,0.04098845914965983,0.0,0.0,0.15,5.31846439633191e-06,0.0,1.0527756057203844e-05,2.2340739044772054e-06,0.009064472221941098,-0.04388929442196199,0.0010259698138293622,-0.14897403018617064,-0.00021216589049762548,0.4671124846479172,0.040988459149668435,0.0357094917098469,-0.06783543140050499,0.37868565592978154,0.3847134059994311,0.00335727098906988,0.3438484068398797,0.9998991898341879,1.5583938976301427e-06,4.2066379787347066e-05,5.7185392127124807e-05,0.0
0.1399999999999848,2.0749999999998825,2.0749999999998825,5.147263550326341e-05,-4.5087955179968575e-06,1.4477726503267225,0.999981271915988,-0.0015020059735261538,0.005886237838920004,0.0007429666494697171,0.0033047578284817664,0.000368625695094417,-0.3879427411968314,-0.059380527763556325,0.24706905938358056,0.04113731954985941,18050.412574429927,18210.01905510383,17987.97348021582,18042.312171742964,0.0,1.0,0.08412885157024166,0.0,0.0,0.15,4.5087955179968575e-06,0.0,5.147263550326341e-05,1.0922904287264598e-05,0.010523527569882027,-0.05222734967327747,0.0033047578284817664,-0.14669524217151822,0.000368625695094417,0.41475197456790386,0.08412885157024157,0.04113731954985941,-0.1716249959236566,0.674644004988341,0.6961309585201035,0.006074969756103068,0.25741298771024157,0.9999156226152909,8.590787962330794e-06,4.064637203069915e-05,3.51402247160446e-05,0.0
0.1599999999999826,2.0949999999998803,2.0949999999998803,0.00015242786120082158,1.2397861007212535e-05,1.4406960194326148,0.9999590089959425,-0.0026824295032558485,0.008563619220349209,0.0012038794215075606,0.007049527510373832,0.0014390376134010082,-0.31792965593626255,-0.10623033745835542,0.25524404955158064,0.05040320956148733,18393.48056813022,18388.856752366377,18476.01890957553,18715.157641406066,0.0,1.0,0.1353364378482794,0.012751713797232472,0.1000000229481035,0.07499998278892239,1.2382203121150904e-05,-7.28084375169175e-21,0.00015243061875080697,3.2346994529899743e-05,0.01192256870553096,-0.05930398056738517,0.007049847607115097,-0.0679501351818073,0.00143746863922448,0.32511313924703955,0.12258472405104058,-0.04959681338661617,-0.3062361970130901,0.9816963369156829,1.028347766601751,0.008974297308291017,0.2810247194858577,0.9997928547881181,4.3884684683072644e-05,0.0001226078324397367,4.06526947590379e-05,0.0
0.1799999999999804,2.114999999999878,2.114999999999878,0.0003428524162592559,5.645369654125632e-05,1.4351037372412123,0.99993833303551,-0.002835772046156603,0.010594374166322702,0.0017457832313537212,0.012175681741614187,0.0029755080759871276,-0.24087627973650588,0.013173852670511821,0.17347693083126903,0.058596977160326566,18634.204734910225,18717.602176156644,18543.520557790293,18653.79848733939,0.0,1.0,0.19664155415371784,0.025353820648385254,0.09999999389644473,0.07500000457766645,5.637464034519799e-05,-2.0014462101333058e-20,0.0003428773753619871,7.276131709070991e-05,0.013232123470182622,-0.06489626275878768,0.012176997234573866,-0.06282300734309258,0.002970119952547738,0.24895167001621465,0.17128773350533674,-0.04140301673611817,-0.3228903334113472,1.2146092603778496,1.256788846472161,0.01096803213239025,0.18357941512367087,0.9999553542514575,5.046071393440238e-07,1.7160969063111045e-05,2.6980172339847057e-05,0.0
