step,t,x,y,z,vx,vy,vz,next_x,next_y,next_z,next_vx,next_vy,next_vz,nominal_vx,nominal_vy,nominal_vz,command_vx,command_vy,command_vz,accel_x,accel_y,accel_z,constraint_active,sector,azimuth_rad,depth_m,margin_m,a_x,a_y,a_z,b,current_slack_m,lookahead_violation_m,obstacle_clearance_m,obstacle_name,status,constraint_age_frames,gate_collision,admm_status,admm_iterations,admm_pri_res,admm_dua_res,admm_terminal_x,admm_terminal_y,admm_terminal_z
11,0.550000000,0.273810453,0.020825770,1.115578096,0.848153675,0.169498875,0.047396862,0.314391653,0.027864528,1.117744183,0.779868831,0.113391229,0.039408352,0.513070592,-0.018743193,-0.031156193,0.226157882,-0.250000000,-0.018514760,-0.800000000,-0.800000000,-0.188318920,1,2,-0.174532925,1.130789412,0.904631529,0.987088786,0.086771786,0.134634270,0.648435241,0.226157882,0.159442530,0.975608347,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.679903150,-0.320565552,1.123158455
12,0.600000000,0.314391653,0.027864528,1.117744183,0.779868831,0.113391229,0.039408352,0.351702415,0.031803943,1.119203818,0.718008808,0.047443911,0.020289849,0.492297512,-0.025078075,-0.035488367,0.217284874,-0.250000000,-0.019867460,-0.800000000,-0.800000000,-0.169359465,1,2,-0.174532925,1.086424369,0.869139495,0.990044385,0.043772937,0.133776100,0.679293735,0.217284874,0.214882796,0.938297585,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.747617066,0.059917979,1.131589770
13,0.650000000,0.351702415,0.031803943,1.119203818,0.718008808,0.047443911,0.020289849,0.385718524,0.031815983,1.119660982,0.647709791,-0.044187089,-0.001269630,0.474467826,-0.028623549,-0.038407636,0.210936709,-0.020523992,-0.014816363,-0.800000000,-0.194194009,-0.100303464,1,2,-0.174532925,1.054683545,0.843746836,0.984463624,0.089650177,0.150977545,0.729000818,0.210936709,0.146925113,0.904281476,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.697066009,0.212423638,1.130273938
14,0.700000000,0.385718524,0.031815983,1.119660982,0.647709791,-0.044187089,-0.001269630,0.416458638,0.026639550,1.118806717,0.591754484,-0.154992423,-0.030220123,0.459603328,-0.028634385,-0.039321965,0.202734254,0.250000000,-0.027407284,-0.800000000,0.800000000,-0.074679011,1,3,0.000000000,1.013671270,0.810937016,0.990736845,-0.041226962,0.129386402,0.728437037,0.202734254,0.236669724,0.873541362,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.943509042,0.726188838,1.129727364
15,0.750000000,0.416458638,0.026639550,1.118806717,0.591754484,-0.154992423,-0.030220123,0.445446853,0.015862870,1.117116253,0.575814418,-0.263148411,-0.035859666,0.447687226,-0.023975595,-0.037613434,0.196416086,-0.135674166,-0.016213978,-0.800000000,0.055195022,0.040017557,1,2,-0.174532925,0.982080432,0.785664346,0.991305122,0.099467227,0.086141895,0.708279560,0.196416086,0.268989346,0.844553147,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.866175711,0.982495725,1.129817486
16,0.800000000,0.445446853,0.015862870,1.117116253,0.575814418,-0.263148411,-0.035859666,0.474430700,0.000611345,1.115818209,0.583877542,-0.330444870,-0.016298981,0.437347832,-0.014276583,-0.034232505,0.050000000,0.250000000,0.028382725,-0.800000000,0.800000000,0.183549690,1,2,-0.174532925,0.947440068,0.757952054,0.996952925,0.077994191,0.001331128,0.636301794,0.189488014,0.000000000,0.815569300,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.435436636,1.243302703,1.138403296
17,0.850000000,0.474430700,0.000611345,1.115818209,0.583877542,-0.330444870,-0.016298981,0.503652502,-0.015992379,1.115903668,0.582046563,-0.322484087,0.016818702,0.427012370,-0.000550210,-0.031636418,0.050000000,0.250000000,0.027941616,-0.800000000,0.800000000,0.126401706,1,3,0.000000000,0.916540540,0.733232432,0.998940320,-0.043233901,-0.015781863,0.639599942,0.183308108,0.000000000,0.786347498,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.251667231,1.192025185,1.136774421
18,0.900000000,0.503652502,-0.015992379,1.115903668,0.582046563,-0.322484087,0.016818702,0.532429481,-0.030709224,1.117238123,0.570902985,-0.266501025,0.034618404,0.416462748,0.014393142,-0.031807335,0.050000000,0.250000000,0.022884936,-0.800000000,0.800000000,0.017332097,1,3,0.000000000,0.886523385,0.709218708,0.999801599,-0.001398546,0.019869751,0.703052347,0.177304677,0.000000000,0.757570519,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.427175432,0.652311563,1.133067369
19,0.950000000,0.532429481,-0.030709224,1.117238123,0.570902985,-0.266501025,0.034618404,0.561074269,-0.042244544,1.119104630,0.577048878,-0.198181118,0.039271923,0.406313467,0.027638302,-0.034476246,0.050000000,0.250000000,0.034174497,-0.800000000,0.800000000,-0.001268304,1,2,-0.174532925,0.863547489,0.690837991,0.993078585,0.116245076,-0.016793014,0.679122222,0.172709498,0.000000000,0.728928770,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.519010723,0.277489781,1.142868996
20,1.000000000,0.561074269,-0.042244544,1.119104630,0.577048878,-0.198181118,0.039271923,0.590151456,-0.049603587,1.121059642,0.582642498,-0.095888000,0.037261280,0.396283158,0.038020089,-0.038209260,0.050000000,0.250000000,0.038305115,-0.800000000,0.800000000,-0.002762309,1,2,-0.174532925,0.831355685,0.665084548,0.997077118,0.066509228,-0.037599770,0.680817723,0.166271137,0.000000000,0.699906196,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.255824745,0.202690199,1.147833467
21,1.050000000,0.590151456,-0.049603587,1.121059642,0.582642498,-0.095888000,0.037261280,0.618794196,-0.050311068,1.122233967,0.560600454,0.062938990,0.008955609,0.385863689,0.044643228,-0.042119283,0.050000000,-0.250000000,0.029577434,-0.800000000,-0.440320000,-0.021953846,1,2,-0.174532925,0.805408928,0.644327143,0.993096197,0.116425224,-0.014321673,0.725328395,0.161081786,0.000000000,0.671274730,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.229796946,-0.334082365,1.143242717
22,1.100000000,0.618794196,-0.050311068,1.122233967,0.560600454,0.062938990,0.008955609,0.646012908,-0.042214170,1.121229864,0.532518141,0.247463635,-0.045296801,0.375835223,0.045279962,-0.044467934,0.050000000,-0.250000000,0.016059743,-0.800000000,-0.800000000,0.020297526,1,2,-0.174532925,0.781019686,0.624815749,0.987434526,0.158007723,0.002572149,0.762159707,0.156203937,0.000000000,0.643990387,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.547774971,-1.198433995,1.134278774
23,1.150000000,0.646012908,-0.042214170,1.121229864,0.532518141,0.247463635,-0.045296801,0.672486135,-0.024744769,1.118059128,0.534096824,0.431028638,-0.076995480,0.367088383,0.037992753,-0.042459728,0.050000000,-0.250000000,0.007675996,-0.800000000,-0.800000000,0.151350849,1,2,-0.174532925,0.747159759,0.597727807,0.995753698,0.091577195,-0.009391003,0.778306365,0.149431952,0.000000000,0.617513865,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.652123094,-1.822330117,1.126986861
24,1.200000000,0.672486135,-0.024744769,1.118059128,0.534096824,0.431028638,-0.076995480,0.700572757,0.001035731,1.114789789,0.592482317,0.575440805,-0.053137791,0.359012479,0.022270292,-0.036118256,0.050000000,-0.250000000,0.012754639,-0.800000000,-0.800000000,0.256428912,1,2,-0.174532925,0.720064458,0.576051566,0.996457827,0.010423268,-0.083445513,0.720562026,0.144012892,0.000000000,0.589427243,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.316237003,-2.169955969,1.127625108
25,1.250000000,0.700572757,0.001035731,1.114789789,0.592482317,0.575440805,-0.053137791,0.732598012,0.031706212,1.113937642,0.682273964,0.626828602,0.015010891,0.349484519,-0.000932158,-0.029579578,0.050000000,-0.250000000,0.022946113,-0.800000000,-0.800000000,0.217382583,1,2,-0.174532925,0.699243518,0.559394814,0.985961579,0.034668098,-0.163333669,0.648539726,0.139848704,0.000000000,0.557401988,center_box,active,0,False,-2,2,0.000000000,0.000000000,-0.316201955,-2.216216326,1.131999373
26,1.300000000,0.732598012,0.031706212,1.113937642,0.682273964,0.626828602,0.015010891,0.769089687,0.061360409,1.116596973,0.767518278,0.544938500,0.083095216,0.336411789,-0.028535590,-0.027875284,0.050000000,-0.250000000,0.012704974,-0.800000000,-0.800000000,-0.006588335,1,3,0.000000000,0.666345978,0.533076782,0.986577559,0.002692439,-0.163271159,0.674245431,0.133269196,0.000000000,0.520910313,center_box,active,0,False,-2,2,0.000000000,0.000000000,-0.737242579,-1.751144052,1.123466372
27,1.350000000,0.769089687,0.061360409,1.116596973,0.767518278,0.544938500,0.083095216,0.808960542,0.084135008,1.121393055,0.814375265,0.367973645,0.103487872,0.319319282,-0.055224368,-0.033193946,0.050000000,-0.250000000,0.022965860,-0.800000000,-0.800000000,-0.171798160,1,4,0.174532925,0.627963334,0.502370667,0.988768421,-0.042545951,-0.143271953,0.723456595,0.125592667,0.000000000,0.481039458,center_box,active,0,False,-2,2,0.000000000,0.000000000,-0.808679461,-0.841359675,1.133821368
28,1.400000000,0.808960542,0.084135008,1.121393055,0.814375265,0.367973645,0.103487872,0.849382080,0.096633188,1.126102415,0.793238246,0.145626966,0.083808973,0.299185512,-0.075721507,-0.042786110,0.050000000,-0.074897892,0.024689396,-0.800000000,-0.800000000,-0.225138504,1,4,0.174532925,0.581988973,0.465591178,0.998368500,-0.044420043,-0.035877547,0.880068405,0.116397795,0.000000000,0.440617920,center_box,active,0,False,-2,2,0.000000000,0.000000000,-0.568398118,0.027961589,1.139910102
29,1.450000000,0.849382080,0.096633188,1.126102415,0.793238246,0.145626966,0.083808973,0.887384817,0.098045783,1.128775960,0.727841847,-0.068754948,0.028313899,0.278556128,-0.086969869,-0.052204830,0.050000000,0.250000000,0.022556666,-0.800000000,0.298208667,-0.175006590,1,3,0.000000000,0.544721177,0.435776942,0.992467233,0.009917504,0.122108287,1.090392916,0.108944235,0.000000000,0.402615183,center_box,active,0,False,-2,2,0.000000000,0.000000000,-0.074614085,0.743423998,1.143019915
30,1.500000000,0.887384817,0.098045783,1.128775960,0.727841847,-0.068754948,0.028313899,0.921783227,0.089549798,1.128833469,0.656110721,-0.247665154,-0.018410171,0.260103664,-0.088241205,-0.057551920,0.050000000,0.250000000,0.013430588,-0.800000000,0.800000000,-0.042523745,1,3,0.000000000,0.508431972,0.406745578,0.988559355,-0.054003100,0.140833469,1.132593615,0.101686394,0.000000000,0.368216773,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.148580596,1.217565417,1.138848901
31,1.550000000,0.921783227,0.089549798,1.128833469,0.656110721,-0.247665154,-0.018410171,0.953160016,0.073551599,1.127955703,0.610411933,-0.371121622,-0.013697693,0.244895096,-0.080594818,-0.057666938,0.050000000,0.250000000,0.005933687,-0.800000000,0.800000000,0.069553881,1,3,0.000000000,0.471727735,0.377382188,0.992557228,-0.001345673,0.121771668,1.146607582,0.094345547,0.000000000,0.336839984,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.158850089,1.330461860,1.133283734
32,1.600000000,0.953160016,0.073551599,1.127955703,0.610411933,-0.371121622,-0.013697693,0.983699215,0.052792608,1.127872342,0.618956719,-0.447656292,0.009088208,0.232405986,-0.066196439,-0.055911405,0.050000000,0.250000000,0.006792509,-0.800000000,0.800000000,0.058543434,1,3,0.000000000,0.437684933,0.350147947,0.998069503,0.055053984,0.028745875,1.075330313,0.087536987,0.000000000,0.306300785,center_box,active,0,False,-2,2,0.000000000,0.000000000,-0.031068195,1.142197847,1.133050084
33,1.650000000,0.983699215,0.052792608,1.127872342,0.618956719,-0.447656292,0.009088208,1.015670505,0.028924297,1.128494468,0.658888308,-0.498446250,0.015512411,0.220670706,-0.047513347,-0.055744684,0.050000000,0.250000000,0.019325423,-0.800000000,0.800000000,0.029249185,1,3,0.000000000,0.407347118,0.325877694,0.997431347,0.010974539,-0.070783242,0.983386771,0.081469424,0.000000000,0.274329495,center_box,active,0,False,-2,2,0.000000000,0.000000000,-0.464508265,1.169039130,1.142366409
34,1.700000000,1.015670505,0.028924297,1.128494468,0.658888308,-0.498446250,0.015512411,1.049692855,0.003586947,1.129560557,0.695298276,-0.503926466,0.026603904,0.207646546,-0.026031867,-0.056988935,0.050000000,0.250000000,0.018609886,-0.800000000,0.800000000,0.008849929,1,3,0.000000000,0.376261499,0.301009200,0.994865262,-0.037977999,-0.093812485,0.978742246,0.075252300,0.000000000,0.240307145,center_box,active,0,False,-2,2,0.000000000,0.000000000,-0.830930769,1.300752044,1.142451882
35,1.750000000,1.049692855,0.003586947,1.129560557,0.695298276,-0.503926466,0.026603904,1.084678892,-0.020045451,1.131627308,0.698460706,-0.435976962,0.052570147,0.192776431,-0.003228252,-0.059121113,0.050000000,0.250000000,0.013124192,-0.800000000,0.800000000,-0.038513463,1,3,0.000000000,0.340543855,0.272435084,0.999304905,0.001821843,-0.037234218,1.075020221,0.068108771,0.000000000,0.205321108,center_box,active,0,False,-2,2,0.000000000,0.000000000,-0.941885531,1.093487978,1.139403701
36,1.800000000,1.084678892,-0.020045451,1.131627308,0.698460706,-0.435976962,0.052570147,1.119363553,-0.038951985,1.134496928,0.691631086,-0.325794496,0.060735907,0.177038997,0.018040906,-0.063254617,0.050000000,0.250000000,0.019924340,-0.800000000,0.800000000,-0.093273734,1,3,0.000000000,0.305533809,0.244427047,0.999303839,0.036353744,0.008381112,1.153786110,0.061106762,0.000000000,0.170636447,center_box,active,0,False,-2,2,0.000000000,0.000000000,-0.706137478,0.516035736,1.146570563
37,1.850000000,1.119363553,-0.038951985,1.134496928,0.691631086,-0.325794496,0.060735907,1.154320896,-0.052145770,1.137236745,0.709025425,-0.210013528,0.049267306,0.161572802,0.035056786,-0.068993857,0.050000000,0.188577351,0.024088299,-0.800000000,0.800000000,-0.104707452,1,2,-0.174532925,0.273473934,0.218779147,0.989624287,0.133797130,-0.052365042,1.097824502,0.054694787,0.001166662,0.135991864,center_box,active,0,False,-2,2,0.000000000,0.000000000,-0.716209590,0.108236358,1.152502060
38,1.900000000,1.154320896,-0.052145770,1.137236745,0.709025425,-0.210013528,0.049267306,1.190451819,-0.058996264,1.139053296,0.732583812,-0.068270750,0.023318739,0.145861194,0.046931193,-0.074473489,0.050000000,-0.066024584,0.012368957,-0.800000000,0.411396984,-0.105423857,1,2,-0.174532925,0.236946204,0.189556963,0.994652371,0.066681065,-0.078868854,1.102367562,0.047389241,0.000000000,0.100450330,center_box,active,0,False,-2,2,0.000000000,0.000000000,-1.090104699,-0.101664208,1.146513462
39,1.950000000,1.190451819,-0.058996264,1.139053296,0.732583812,-0.068270750,0.023318739,1.227133211,-0.057371280,1.139009366,0.727112178,0.125116697,-0.024637240,0.129093363,0.053096638,-0.078106592,0.050000000,-0.250000000,-0.000853632,-0.800000000,-0.519226429,-0.069063918,1,2,-0.174532925,0.201073497,0.160858797,0.992414139,0.100947663,-0.070169411,1.135753682,0.040214699,0.000000000,0.063790575,center_box,active,0,False,-2,2,0.000000000,0.000000000,-1.284036756,-0.672517538,1.138413072
40,2.000000000,1.227133211,-0.057371280,1.139009366,0.727112178,0.125116697,-0.024637240,1.262039285,-0.045199378,1.135883103,0.665686971,0.345383352,-0.096663366,0.111830111,0.051634152,-0.078018732,0.050000000,-0.250000000,-0.011701853,-0.800000000,-0.800000000,0.036958248,1,2,-0.174532925,0.201073497,0.160858797,0.992414139,0.100947663,-0.070169411,1.135753682,0.003644447,0.015334735,0.028066303,center_box,held_violates_current,1,False,-2,2,0.000000000,0.000000000,-1.015355587,-1.599125862,1.129156947
41,2.050000000,1.262039285,-0.045199378,1.135883103,0.665686971,0.345383352,-0.096663366,1.292760433,-0.021846554,1.129214780,0.568285136,0.567072215,-0.163533145,0.096164643,0.040679440,-0.071766206,0.050000000,-0.250000000,-0.031301557,-0.800000000,-0.800000000,0.186748025,1,2,-0.174532925,0.201073497,0.160858797,0.992414139,0.100947663,-0.070169411,1.135753682,-0.032444928,0.052639263,-0.002760433,center_box,held_violates_current,2,False,-2,2,0.000000000,0.000000000,-0.379533261,-2.374566317,1.108713269
